"","n1","n2","n3","n4","score"
"163",0.05,0.2,0.2,0.55,21.0248004268505
"184",0.05,0.25,0.25,0.45,21.0248004268505
"279",0.1,0.35,0.35,0.2,21.0248004268505
"174",0.05,0.3,0.2,0.45,21.0167798778277
"204",0.1,0.15,0.1,0.65,21.0167798778277
"285",0.1,0.3,0.25,0.35,21.0167798778277
"287",0.1,0.35,0.25,0.3,21.0020213835704
"288",0.1,0.35,0.3,0.25,21.0020213835704
"114",0.05,0.5,0.35,0.1,21.0007387797821
"133",0.05,0.15,0.15,0.65,20.9940008345475
"215",0.1,0.1,0.55,0.25,20.9940008345475
"221",0.1,0.1,0.5,0.3,20.9940008345475
"227",0.1,0.1,0.45,0.35,20.9940008345475
"138",0.05,0.2,0.15,0.6,20.9792423402902
"220",0.1,0.1,0.3,0.5,20.9792423402902
"226",0.1,0.1,0.35,0.45,20.9792423402902
"261",0.1,0.4,0.35,0.15,20.9792423402902
"276",0.1,0.4,0.3,0.2,20.9792423402902
"120",0.1,0.5,0.35,0.05,20.9779597365019
"246",0.1,0.25,0.15,0.5,20.9712217912673
"14",0.05,0.05,0.75,0.15,20.9644838460328
"1",0.05,0.05,0.05,0.85,20.95646329701
"13",0.05,0.05,0.15,0.75,20.95646329701
"209",0.1,0.1,0.6,0.2,20.95646329701
"132",0.1,0.45,0.4,0.05,20.9551806932217
"200",0.1,0.1,0.7,0.1,20.9484427479872
"225",0.1,0.5,0.3,0.1,20.9484427479872
"191",0.05,0.4,0.25,0.3,20.9417048027526
"203",0.1,0.1,0.65,0.15,20.9417048027526
"5",0.05,0.05,0.8,0.1,20.9336842537298
"25",0.05,0.05,0.25,0.65,20.9336842537298
"232",0.1,0.1,0.4,0.4,20.9336842537298
"20",0.05,0.05,0.7,0.2,20.9269463084953
"199",0.1,0.1,0.1,0.7,20.9189257594725
"273",0.1,0.3,0.2,0.4,20.9189257594725
"6",0.05,0.1,0.05,0.8,20.9109052104496
"19",0.05,0.05,0.2,0.7,20.9109052104496
"58",0.1,0.1,0.75,0.05,20.9109052104496
"180",0.05,0.35,0.2,0.4,20.9109052104496
"210",0.1,0.2,0.1,0.6,20.9109052104496
"26",0.05,0.05,0.65,0.25,20.9041672652151
"219",0.1,0.55,0.25,0.1,20.9028846614268
"31",0.05,0.05,0.3,0.6,20.8961467161923
"63",0.05,0.15,0.1,0.7,20.8961467161923
"177",0.05,0.45,0.3,0.2,20.8961467161923
"216",0.1,0.25,0.1,0.55,20.8961467161923
"255",0.1,0.45,0.3,0.15,20.8961467161923
"42",0.05,0.55,0.35,0.05,20.894864112404
"32",0.05,0.05,0.6,0.3,20.8813882219349
"38",0.05,0.05,0.55,0.35,20.8813882219349
"44",0.05,0.05,0.5,0.4,20.8813882219349
"49",0.05,0.05,0.45,0.45,20.8813882219349
"2",0.05,0.05,0.85,0.05,20.8733676729121
"150",0.05,0.3,0.15,0.5,20.8733676729121
"153",0.05,0.5,0.3,0.15,20.8733676729121
"213",0.1,0.6,0.2,0.1,20.8733676729121
"43",0.05,0.05,0.4,0.5,20.8666297276776
"37",0.05,0.05,0.35,0.55,20.8586091786547
"144",0.05,0.25,0.15,0.55,20.8586091786547
